iter	Passed	Remaining
0	142	142308
1	143	71616
2	145	48498
3	147	36704
4	149	29791
5	151	25117
6	153	21780
7	155	19261
8	156	17262
9	158	15672
10	159	14383
11	160	13253
12	162	12314
13	163	11524
14	164	10827
15	166	10216
16	167	9671
17	168	9172
18	168	8717
19	169	8309
20	170	7938
21	171	7602
22	171	7297
23	172	7005
24	172	6742
25	173	6507
26	174	6284
27	175	6075
28	175	5882
29	176	5706
30	177	5536
31	177	5383
32	178	5239
33	179	5106
34	180	4977
35	181	4858
36	182	4742
37	182	4632
38	183	4525
39	184	4423
40	185	4327
41	185	4237
42	186	4150
43	187	4065
44	187	3984
45	188	3908
46	189	3837
47	189	3767
48	190	3698
49	191	3632
50	191	3569
51	192	3510
52	193	3453
53	194	3401
54	194	3349
55	195	3301
56	196	3254
57	197	3206
58	198	3160
59	198	3116
60	199	3072
61	200	3029
62	200	2988
63	201	2947
64	202	2909
65	202	2871
66	203	2834
67	204	2799
68	204	2765
69	205	2731
70	206	2699
71	206	2667
72	207	2637
73	208	2607
74	209	2579
75	209	2552
76	210	2525
77	211	2500
78	212	2474
79	212	2448
80	213	2423
81	214	2399
82	214	2375
83	215	2352
84	216	2329
85	217	2308
86	217	2287
87	218	2265
88	219	2244
89	219	2223
90	220	2203
91	221	2184
92	222	2165
93	222	2146
94	223	2128
95	224	2110
96	224	2092
97	225	2075
98	226	2057
99	226	2041
100	227	2025
101	228	2009
102	228	1993
103	229	1978
104	230	1962
105	231	1948
106	231	1933
107	232	1918
108	232	1903
109	233	1889
110	234	1876
111	234	1862
112	235	1849
113	236	1836
114	237	1824
115	237	1811
116	238	1798
117	239	1786
118	239	1775
119	240	1764
120	241	1753
121	242	1743
122	243	1733
123	243	1723
124	244	1713
125	245	1703
126	246	1694
127	247	1684
128	248	1675
129	249	1666
130	249	1657
131	250	1647
132	251	1637
133	252	1628
134	252	1619
135	253	1609
136	254	1600
137	254	1591
138	255	1582
139	256	1573
140	256	1564
141	257	1555
142	258	1547
143	258	1539
144	259	1531
145	260	1523
146	261	1515
147	261	1506
148	262	1498
149	263	1490
150	263	1482
151	264	1474
152	265	1467
